Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
717447,716339,767541,773869,773023
717446,771667,767471,767542,764106
717445,769405,769953,767620,772167
773062,773012,764424,737529,
717816,716955,769941,765604,
765273,717498,767470,773906,
716331,764853,767610,769403,
716337,717453,718076,769819,
769402,771673,767455,717578,
716941,,769847,767572,
716960,,769867,767573,
717804,,773996,773013,
718045,,717582,769388,
772140,,717580,716328,
773927,,769926,717819,
760024,,759772,760987,
769359,,769806,718204,
760650,,,769418,
761604,,,768066,
717495,,,774012,
716554,,,774011,
764949,,,767609,
769444,,,716956,
773939,,,769831,
769443,,,773953,
717497,,,773954,
717492,,,767366,
717493,,,774067,
717499,,,767750,
765171,,,767751,
769431,,,773880,
769430,,,764766,
767053,,,717490,
772597,,,717491,
767350,,,765176,
717483,,,718064,
718379,,,718066,
717480,,,765164,
717486,,,717610,
772151,,,767621,
718371,,,772596,
717489,,,767351,
716968,,,716571,
769467,,,767585,
764760,,,773024,
718089,,,717481,
716942,,,764120,
718090,,,717488,
717472,,,717818,
764781,,,718072,
765099,,,767454,
716953,,,761599,
716951,,,717099,
769358,,,773916,
716958,,,717576,
718496,,,717573,
769346,,,717572,
773904,,,717571,
717502,,,717570,
717504,,,717608,
763995,,,767523,
717508,,,717473,
765265,,,759591,
717469,,,762329,
717468,,,767509,
717465,,,765182,
764794,,,772513,
717466,,,718499,
717461,,,761003,
717462,,,759602,
769345,,,773995,
716943,,,717460,
716949,,,717463,
772178,,,772669,
716939,,,717583,
717458,,,717587,
717450,,,717585,
774204,,,768469,
769373,,,764101,
,,,767554,
,,,773975,
,,,773974,
,,,717510,
,,,717513,
,,,717825,
,,,767495,
,,,767494,
,,,717821,
,,,717823,
,,,717459,
,,,764858,
,,,717452,
,,,717456,
,,,769372,
,,,717590,
,,,717592,
,,,717595,
,,,772168,
,,,718141,
